github.com/apache/thrift	v0.16.0
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/facebookgo/clock	v0.0.0-20150410010913-600d898af40a
github.com/gogo/googleapis	v1.4.1
github.com/gogo/protobuf	v1.3.2
github.com/gogo/status	v1.1.0
github.com/golang-jwt/jwt/v5	v5.2.0
github.com/golang/mock	v1.7.0-rc.1
github.com/golang/protobuf	v1.5.4
github.com/google/gofuzz	v1.0.0
github.com/jonboulle/clockwork	v0.4.0
github.com/marusama/semaphore/v2	v2.5.0
github.com/matttproud/golang_protobuf_extensions	v1.0.2-0.20181231171920-c182affec369
github.com/opentracing/opentracing-go	v1.2.0
github.com/pborman/uuid	v0.0.0-20160209185913-a97ce2ca70fa
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.11.1
github.com/prometheus/client_model	v0.6.0
github.com/prometheus/common	v0.26.0
github.com/prometheus/procfs	v0.6.0
github.com/robfig/cron	v1.2.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.9.0
github.com/twmb/murmur3	v1.1.8
github.com/uber-go/mapdecode	v1.0.0
github.com/uber-go/tally	v3.5.8+incompatible
github.com/uber/cadence-idl	v0.0.0-20260609034356-3ee08a98cf70
github.com/uber/jaeger-client-go	v2.30.0+incompatible
github.com/uber/jaeger-lib	v2.4.1+incompatible
github.com/uber/tchannel-go	v1.34.4
go.uber.org/atomic	v1.11.0
go.uber.org/dig	v1.17.1
go.uber.org/fx	v1.22.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/net/metrics	v1.4.0
go.uber.org/thriftrw	v1.32.0
go.uber.org/yarpc	v1.88.0
go.uber.org/zap	v1.27.0
golang.org/x/net	v0.28.0
golang.org/x/oauth2	v0.22.0
golang.org/x/sys	v0.28.0
golang.org/x/text	v0.17.0
golang.org/x/time	v0.0.0-20170927054726-6dc17368e09b
google.golang.org/genproto/googleapis/rpc	v0.0.0-20240814211410-ddb44dafa142
google.golang.org/grpc	v1.67.3
google.golang.org/protobuf	v1.34.2
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
