github.com/AlecAivazis/survey/v2 v2.3.7
github.com/fatih/color v1.19.0
github.com/kballard/go-shellquote v0.0.0-20180428030007-95032a82bc51
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mgutz/ansi v0.0.0-20170206155736-9520e82c474b
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.9
golang.org/x/sys v0.42.0
golang.org/x/term v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text v0.4.0
